playerId,xG,passes,recs,won atk ground duels,won air duels,goals,assists,key_passes,shortName,roleName,MinutesPlayed
151,0.19564353865870132,8.737864077669903,10.149365197908887,3.226288274831964,2.2180731889469754,0.20164301717699776,0.20164301717699776,0.268857356235997,J. Guidetti,Forward,1339
1751,0.13373968432776204,12.70034843205575,15.522648083623693,6.2717770034843205,0.0,0.0,0.0,0.313588850174216,O. Tannane,Forward,574
3290,0.25726986841559407,5.496503496503497,9.062937062937063,2.937062937062937,4.825174825174825,0.2517482517482518,0.04195804195804196,0.08391608391608392,Aduriz,Forward,2145
3291,0.33999877893876074,7.521613832853026,11.930835734870318,2.723342939481268,0.6484149855907781,0.5187319884726225,0.38904899135446686,0.38904899135446686,Paco Alcácer,Forward,694
3293,0.10792955441349696,9.15951972555746,12.144082332761577,5.660377358490566,1.234991423670669,0.051457975986277875,0.10291595197255575,0.411663807890223,P. Piatti,Forward,1749
3321,0.3656274098234911,14.58894565722248,18.64375290292615,3.5949837436135623,0.5016256386437529,0.12540640966093822,0.3762192289828147,0.5016256386437529,K. Benzema,Forward,2153
3322,0.8678943659747219,11.480191554201133,19.042228994340444,5.407052677405312,1.7239878101872006,0.9011754462342185,0.195907705703091,0.5485415759686547,Cristiano Ronaldo,Forward,2297
3348,0.2171793248887871,14.671968190854871,28.628230616302186,5.188866799204772,0.35785288270377735,0.17892644135188868,0.17892644135188868,0.7157057654075547,Deulofeu,Forward,503
3358,0.11734322545266389,8.002371072910492,11.790160047421459,4.801422643746295,0.21339656194427978,0.21339656194427978,0.053349140486069944,0.21339656194427978,Cristian Tello,Forward,1687
3359,0.52229090529845,24.272363150867825,25.083444592790386,14.389185580774365,0.2703604806408545,0.7810413885180241,0.33044058744993327,1.0213618157543392,L. Messi,Forward,2996
3425,0.3154449980591926,17.164948453608247,15.193298969072165,9.394329896907216,0.3479381443298969,0.4639175257731959,0.23195876288659795,0.9278350515463918,Muniain,Forward,776
3451,0.2928230551837264,9.855134213890073,13.651469961653174,4.601619088197699,2.7609714529186196,0.34512143161482745,0.11504047720494248,0.2684277801448658,Adrián López,Forward,2347
3576,0.29728839656174394,5.379449294828744,10.214909335124245,2.2968435191403627,0.6044325050369376,0.48354600402955006,0.18132975151108127,0.12088650100738751,Juanmi,Forward,1489
3605,0.2639541157016968,9.029021855965604,10.060910068075959,4.224292368326765,4.256538874955213,0.12898602651379434,0.09673951988534575,0.5159441060551774,Jorge Molina,Forward,2791
3682,0.26175593628826843,11.386603995299648,13.149236192714454,3.8777908343125733,0.881316098707403,0.564042303172738,0.3172737955346651,0.38777908343125733,A. Griezmann,Forward,2553
3714,0.3481298334213994,2.6460859977949283,6.4829106945975745,2.745314222712238,4.134509371554575,0.5292171995589857,0.0,0.06615214994487321,C. Stuani,Forward,2721
3802,0.2260029115149908,22.033768227168075,23.415195702225635,8.426707597851113,0.20721412125863392,0.5525709900230238,0.2762854950115119,0.5525709900230238,Philippe Coutinho,Forward,1303
3816,0.2017700491468033,8.690036900369003,9.907749077490775,5.922509225092251,0.940959409594096,0.11070110701107011,0.33210332103321033,0.33210332103321033,Sergio García,Forward,1626
3840,0.3780887422177279,11.713798977853493,14.38160136286201,5.887563884156729,0.7359454855195912,0.5826235093696763,0.1839863713798978,0.7359454855195912,Iago Aspas,Forward,2935
3874,0.3575776759412196,6.967977300364816,10.980948520470207,4.997973246858533,3.1374138629914876,0.2918524523713012,0.0,0.0729631130928253,Kike García,Forward,2467
3875,0.2446920402346182,5.158648925281474,7.5537359263050154,1.5660184237461616,3.039918116683726,0.09211873080859775,0.0,0.09211873080859775,Borja Bastón,Forward,977
3937,0.2649788251084863,5.625,8.4375,3.5625,1.3125,0.1875,0.1875,0.28125,Roger,Forward,960
4048,0.21213324476480358,7.44920993227991,11.376975169300225,2.7765237020316027,4.604966139954853,0.20316027088036118,0.06772009029345373,0.20316027088036118,Sergi Enrich,Forward,1329
4131,0.30020416114207044,4.188777729447586,7.8294910830796,3.679860809047412,1.252718573292736,0.508916920400174,0.078294910830796,0.352327098738582,Ángel,Forward,2299
4338,0.22734674403623456,8.503274087932647,13.04957904583723,6.061739943872778,2.2731524789522917,0.25257249766136575,0.25257249766136575,0.16838166510757718,Diego Costa,Forward,1069
4440,0.6494834468694961,8.905263157894737,11.557894736842105,4.3578947368421055,1.1368421052631579,0.5684210526315789,0.37894736842105264,0.7578947368421053,Borja Valle,Forward,475
4498,0.24367410368733855,16.854741896758703,24.741896758703483,7.238895558223289,0.27010804321728693,0.21608643457382953,0.27010804321728693,1.2424969987995198,Lucas Vázquez,Forward,1666
5147,0.29104625021178115,5.625,10.086206896551724,6.400862068965517,4.461206896551724,0.1939655172413793,0.0,0.3879310344827586,Choco Lozano,Forward,464
5268,0.3416029908421784,3.6345280161534577,7.3144876325088335,3.3619384149419487,1.1357900050479557,0.49974760222110043,0.04543160020191822,0.09086320040383644,Sergio León,Forward,1981
5400,0.37099350228483535,7.7286049237983585,10.313599062133646,5.301875732708089,3.429073856975381,0.39566236811254396,0.02637749120750293,0.47479484173505276,Gerard Moreno,Forward,3412
5481,0.21418809040008557,5.260960334029227,8.580375782881003,3.0062630480167014,2.943632567849687,0.25052192066805845,0.12526096033402923,0.12526096033402923,Guerrero,Forward,1437
5911,0.2886413919412009,8.823529411764707,14.621848739495798,5.6722689075630255,0.5042016806722689,0.0,0.0,0.37815126050420167,Sandro,Forward,714
